ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
0,"arbitrage pricing theory    An asset pricing theory that is derived from a factor model, using diversification and arbitrage arguments. The theory describes the relationship between expected returns on securities, given that there are no opportunities to create wealth through risk-free arbitrage investments.",arbitrage pricing theory,,,"An asset pricing theory that is derived from a factor model, using diversification and arbitrage arguments. The theory describes the relationship between expected returns on securities, given that there are no opportunities to create wealth through risk-free arbitrage investments.",2013_Bodie.Kane.Marcus_Investments
1,ask price    The price at which a dealer will sell a security.,ask price,,,The price at which a dealer will sell a security.,2013_Bodie.Kane.Marcus_Investments
2,asset allocation    Choosing among broad asset classes such as stocks versus bonds.,asset allocation,,,Choosing among broad asset classes such as stocks versus bonds.,2013_Bodie.Kane.Marcus_Investments
3,at the money    When the exercise price and asset price of an option are equal.,at the money,,,When the exercise price and asset price of an option are equal.,2013_Bodie.Kane.Marcus_Investments
4,auction market    A market where all traders in a good meet at one place to buy or sell an asset. The NYSE is an example.,auction market,,,A market where all traders in a good meet at one place to buy or sell an asset. The NYSE is an example.,2013_Bodie.Kane.Marcus_Investments
5,"average collection period, or days' receivables    The ratio of accounts receivable to sales, or the total amount of credit extended per dollar of daily sales (average AR/sales  3  365).","average collection period, or days' receivables",,,"The ratio of accounts receivable to sales, or the total amount of credit extended per dollar of daily sales (average AR/sales  3  365).",2013_Bodie.Kane.Marcus_Investments
6,B    backfill bias    Bias in the average returns of a sample of funds induced by including past returns on funds that entered the sample only if they happened to be successful.,backfill bias,,,Bias in the average returns of a sample of funds induced by including past returns on funds that entered the sample only if they happened to be successful.,2013_Bodie.Kane.Marcus_Investments
7,balance sheet    An accounting statement of a firm's finan-cial position at a specified time.,balance sheet,,,An accounting statement of a firm's finan-cial position at a specified time.,2013_Bodie.Kane.Marcus_Investments
8,"bank discount yield    An annualized interest rate assuming simple interest, a 360-day year, and using the face value of the security rather than purchase price to compute return per dollar invested.",bank discount yield,,,"An annualized interest rate assuming simple interest, a 360-day year, and using the face value of the security rather than purchase price to compute return per dollar invested.",2013_Bodie.Kane.Marcus_Investments
9,banker's acceptance    A money market asset consisting of an order to a bank by a customer to pay a sum of money at a future date.,banker's acceptance,,,A money market asset consisting of an order to a bank by a customer to pay a sum of money at a future date.,2013_Bodie.Kane.Marcus_Investments
