ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
0,Accreting swap A swap in which the principal increases in each time period. Accrued interest Interest on a bond that has accrued since the last coupon date. American option An option that can be exercised on any business day during its life. Amortization Repayment of the principal on a loan or bond in instalments over a period of,Accreting swap,,,A swap in which the principal increases in each time period. Accrued interest Interest on a bond that has accrued since the last coupon date. American option An option that can be exercised on any business day during its life. Amortization Repayment of the principal on a loan or bond in instalments over a period of,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
1,Arbitrageur Someone who takes advantage of arbitrage opportunities. Asian or Asiatic option Another name for an average price option. Ask The offer or sale price of an asset or derivatives contract. Asset A physical commodity or a financial asset such as a share or a bond. Asset-backed securities Bonds backed by a pool of assets created or 'originated' by a bank,Arbitrageur,,,Someone who takes advantage of arbitrage opportunities. Asian or Asiatic option Another name for an average price option. Ask The offer or sale price of an asset or derivatives contract. Asset A physical commodity or a financial asset such as a share or a bond. Asset-backed securities Bonds backed by a pool of assets created or 'originated' by a bank,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
2,"Asset-or-nothing option An option that pays out an amount equal to the price of the under- lying if it expires in-the-money, otherwise nothing.",Asset or nothing option,,,"An option that pays out an amount equal to the price of the under- lying if it expires in-the-money, otherwise nothing.","Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
3,Assignment Formal notification from an exchange that the writer of a call (put) option must deliver (take delivery of) the underlying asset at the exercise price.,Assignment,,,Formal notification from an exchange that the writer of a call the underlying asset at the exercise price.,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
4,As-you-like option See: Chooser option. At-best order An order to a broker to buy or sell a contract at the best price available. At-the-money option An option whose strike is equal to the cash price of the underlying.,As you like option,,,See: Chooser option. At-best order An order to a broker to buy or sell a contract at the best price available. At-the-money option An option whose strike is equal to the cash price of the underlying.,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
6,Bank for International Settlements (BIS) The BIS acts to promote international co- operation in financial matters.,Bank for International Settlements,BIS,,The BIS acts to promote international co- operation in financial matters.,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
7,Barrier option An option whose payoff depends on whether the underlying has hit one or more threshold or barrier levels.,Barrier option,,,An option whose payoff depends on whether the underlying has hit one or more threshold or barrier levels.,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
8,Basis The difference between the cash price of an asset and the forward or futures price. When the futures is above the cash price the basis is negative. This represents the negative cost of carrying a position in the asset to deliver on the future date. When the futures is below the cash the basis is positive.,Basis,,,The difference between the cash price of an asset and the forward or futures price. When the futures is above the cash price the basis is negative. This represents the negative cost of carrying a position in the asset to deliver on the future date. When the futures is below the cash the basis is positive.,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
9,Basis point In both the money and the bond markets one basis point equals 0.01%. Basis risk The risk that arises because futures prices do not exactly track changes in the,Basis point,,,In both the money and the bond markets one basis point equals 0.01%. Basis risk The risk that arises because futures prices do not exactly track changes in the,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
10,Basis swap Both legs are based on floating interest rates but each is calculated on a different basis - e.g. LIBOR versus the rate on commercial paper.,Basis swap,,,Both legs are based on floating interest rates but each is calculated on a different basis - e.g. LIBOR versus the rate on commercial paper.,"Derivatives Demystified-A Step-by-Step Guide to Forwards, Futures, Swaps _ Options-sAyYiEd"
