ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
0,ABC wave Elliott wave terminology for a three-wave countertrend price move- ment. Wave A is the first price wave against the trend of the market. Wave B is a corrective wave to Wave A. Wave C is the final price move to complete the coun- tertrend price action.,ABC wave,,,Elliott wave terminology for a three-wave countertrend price move- ment. Wave A is the first price wave against the trend of the market. Wave B is a corrective wave to Wave A. Wave C is the final price move to complete the coun- tertrend price action.,Finance - The Options Course - High Profit And Low Stress Trading Methods
1,adjustment The process of buying or selling instruments to bring a position delta back to zero and increase profits.,adjustment,,,The process of buying or selling instruments to bring a position delta back to zero and increase profits.,Finance - The Options Course - High Profit And Low Stress Trading Methods
2,All Ordinaries Index The major index of Australian stocks. This index repre- sents 280 of the most active listed companies or the majority of the equity  capitalization (excluding foreign companies) listed on the Australian Stock Ex- change (ASX).,All Ordinaries Index,,,The major index of Australian stocks. This index repre- sents 280 of the most active listed companies or the majority of the equity  capitalization.,Finance - The Options Course - High Profit And Low Stress Trading Methods
3,"American Stock Exchange (AMEX) A private, not-for-profit corporation, located in New York City, that handles approximately one-fifth of all securities trades within the United States.",American Stock Exchange,AMEX,,"A private, not-for-profit corporation, located in New York City, that handles approximately one-fifth of all securities trades within the United States.",Finance - The Options Course - High Profit And Low Stress Trading Methods
4,American-style option An option contract that can be exercised at any time be- tween the date of purchase and the expiration date. Most exchange-traded options are American-style.,American style option,,,An option contract that can be exercised at any time be- tween the date of purchase and the expiration date. Most exchange-traded options are American-style.,Finance - The Options Course - High Profit And Low Stress Trading Methods
5,amortization The paying off of debt in regular installments over a period of time.,amortization,,,The paying off of debt in regular installments over a period of time.,Finance - The Options Course - High Profit And Low Stress Trading Methods
6,analyst Employee of a brokerage or fund management house who studies com- panies and makes buy and sell recommendations on their stocks. Most specialize in a specific industry.,analyst,,,Employee of a brokerage or fund management house who studies com- panies and makes buy and sell recommendations on their stocks. Most specialize in a specific industry.,Finance - The Options Course - High Profit And Low Stress Trading Methods
7,annual earnings change (percent) The historical earnings change between the most recently reported fiscal year earnings and the preceding year earnings.,annual earnings change,,,The historical earnings change between the most recently reported fiscal year earnings and the preceding year earnings.,Finance - The Options Course - High Profit And Low Stress Trading Methods
8,annual net profit margin (percent) The percentage that the company earned from gross sales for the most recently reported fiscal year.,annual net profit margin,,,The percentage that the company earned from gross sales for the most recently reported fiscal year.,Finance - The Options Course - High Profit And Low Stress Trading Methods
9,"annual percentage rate (APR) The cost of credit that the consumer pays, ex- pressed as a simple annual percentage.",annual percentage rate,APR,,"The cost of credit that the consumer pays, ex- pressed as a simple annual percentage.",Finance - The Options Course - High Profit And Low Stress Trading Methods
10,annual rate of return The simple rate of return earned by an investor for each year.,annual rate of return,,,The simple rate of return earned by an investor for each year.,Finance - The Options Course - High Profit And Low Stress Trading Methods
11,"annual report A report issued by a company to its shareholders at the end of the fiscal year, containing a description of the firm's operations and financial statements.",annual report,,,"A report issued by a company to its shareholders at the end of the fiscal year, containing a description of the firm's operations and financial statements.",Finance - The Options Course - High Profit And Low Stress Trading Methods
12,"annuity A series of constant payments at uniform time intervals (for example, periodic interest payments on a bond).",annuity,,,A series of constant payments at uniform time intervals.,Finance - The Options Course - High Profit And Low Stress Trading Methods
13,appreciation The increase in value of an asset.,appreciation,,,The increase in value of an asset.,Finance - The Options Course - High Profit And Low Stress Trading Methods
14,"arbitrage The simultaneous purchase and sale of identical financial instruments or commodity futures in order to make a profit, where the selling price is higher than the buying price.",arbitrage,,,"The simultaneous purchase and sale of identical financial instruments or commodity futures in order to make a profit, where the selling price is higher than the buying price.",Finance - The Options Course - High Profit And Low Stress Trading Methods
15,arbitrageur An individual or company who takes advantage of momentary dis- parities in prices between markets to lock in profits because the selling price is higher than the buying price.,arbitrageur,,,An individual or company who takes advantage of momentary dis- parities in prices between markets to lock in profits because the selling price is higher than the buying price.,Finance - The Options Course - High Profit And Low Stress Trading Methods
16,"ascending triangle A sideways price pattern with two converging trend lines; the top trend line is relatively flat (resistance), while the bottom trend line (sup- port) is rising. This is generally considered a bullish formation, since most of the time it will break out to the upside.",ascending triangle,,,"A sideways price pattern with two converging trend lines; the top trend line is relatively flat is rising. This is generally considered a bullish formation, since most of the time it will break out to the upside.",Finance - The Options Course - High Profit And Low Stress Trading Methods
17,"ask The lowest price of a specific market that market makers, floor brokers, or specialists are willing to sell at.",ask,,,"The lowest price of a specific market that market makers, floor brokers, or specialists are willing to sell at.",Finance - The Options Course - High Profit And Low Stress Trading Methods
18,"assignment When the short option position is notified of the long position's in- tent to exercise. The long position exercises and the short position is assigned. The long position has the right to exercise; if the trader chooses to exercise, the short position must oblige.",assignment,,,"When the short option position is notified of the long position's in- tent to exercise. The long position exercises and the short position is assigned. The long position has the right to exercise; if the trader chooses to exercise, the short position must oblige.",Finance - The Options Course - High Profit And Low Stress Trading Methods
19,at-the-money (ATM) When the strike price of an option is the same as the cur- rent price of the underlying instrument.,at the money,ATM,,When the strike price of an option is the same as the cur- rent price of the underlying instrument.,Finance - The Options Course - High Profit And Low Stress Trading Methods
20,at-the-opening order An order that specifies execution at the opening of the market or else it is canceled.,at the opening order,,,An order that specifies execution at the opening of the market or else it is canceled.,Finance - The Options Course - High Profit And Low Stress Trading Methods
21,"auction market A market in which buyers enter competitive bids and sellers en- ter competitive offers simultaneously. Most stock and bond markets, including those on the NYSE, function this way.",auction market,,,"A market in which buyers enter competitive bids and sellers en- ter competitive offers simultaneously. Most stock and bond markets, including those on the NYSE, function this way.",Finance - The Options Course - High Profit And Low Stress Trading Methods
22,automatic exercise The automatic exercise of an in-the-money option at expira- tion by the clearing firm.,automatic exercise,,,The automatic exercise of an in-the-money option at expira- tion by the clearing firm.,Finance - The Options Course - High Profit And Low Stress Trading Methods
23,"Average Directional Index (ADX) Developed by Welles Wilder, the ADX indi- cates the degree in which a security is trending. It is a normalized index that uses the components of the Directional Movement Indicator (DMI). It is typically calcu- lated for a 14-period time frame and does not usually move into extreme ranges. The ADX indicates a trending market when the indicator is rising and a nontrend- ing market when the indicator is falling. Standard use of the ADX includes the fol- lowing: an ADX line rising above 20, signals a trending market, while an ADX line falling below 40, signals the start of a nontrending environment.",Average Directional Index.,ADX,,"It is typically calcu- lated for a 14-period time frame and does not usually move into extreme ranges. The ADX indicates a trending market when the indicator is rising and a nontrend- ing market when the indicator is falling. Standard use of the ADX includes the fol- lowing: an ADX line rising above 20, signals a trending market, while an ADX line falling below 40, signals the start of a nontrending environment.",Finance - The Options Course - High Profit And Low Stress Trading Methods
24,back months The futures or options on futures months being traded that are fur- thest from expiration.,back months,,,The futures or options on futures months being traded that are fur- thest from expiration.,Finance - The Options Course - High Profit And Low Stress Trading Methods
