ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
0,"Accounts payable. Current liability on the balance sheet, representing short-term obligations to pay suppliers.",Accounts payable,,,"Current liability on the balance sheet, representing short-term obligations to pay suppliers.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
1,"Accounts receivable. Current asset on the balance sheet, representing short-term amounts due from customers who have purchased on account.",Accounts receivable,,,"Current asset on the balance sheet, representing short-term amounts due from customers who have purchased on account.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
2,"Accrual accounting. Recording of revenue when earned and expenses when in-curred, irrespective of the dates on which the associated cash flows occur.",Accrual accounting,,,"Recording of revenue when earned and expenses when in-curred, irrespective of the dates on which the associated cash flows occur.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
3,Accumulated depreciation. Sum total of all depreciation expense recognized todate on a depreciable fixed asset.,Accumulated depreciation,,,Sum total of all depreciation expense recognized todate on a depreciable fixed asset.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
4,Additional paid-in capital. Any payment received from investors for stock thatexceeds the par value of the stock.,Additional paid in capital,,,Any payment received from investors for stock thatexceeds the par value of the stock.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
5,"Allowance for bad debts. An offset to the accounts receivable balance, againstwhich bad debts are charged. This allowance is used to avoid severe changes inthe period-to-period bad debt expense by expensing a steady amount to the al-lowance account in every period, rather than writing off large bad debts to ex-pense on an infrequent basis.",Allowance for bad debts,,,"An offset to the accounts receivable balance, againstwhich bad debts are charged. This allowance is used to avoid severe changes inthe period-to-period bad debt expense by expensing a steady amount to the al-lowance account in every period, rather than writing off large bad debts to ex-pense on an infrequent basis.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
6,"Amortization. Write-off of an asset over the period when the asset is used. Thisterm is most commonly applied to the gradual write-down of intangible items,such as goodwill or organizational costs.",Amortization,,,"Write-off of an asset over the period when the asset is used. Thisterm is most commonly applied to the gradual write-down of intangible items,such as goodwill or organizational costs.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
7,"Asset. A resource, recorded through a transaction, that is expected to yield abenefit to a company.",Asset,,,"A resource, recorded through a transaction, that is expected to yield abenefit to a company.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
8,"Average inventory. The beginning inventory for a period, plus the amount atthe end of the period, divided by two. It is most commonly used in situationswhere just using the period-end inventory yields highly variable results, be-cause of constant and large changes in the inventory level.",Average inventory,,,"The beginning inventory for a period, plus the amount atthe end of the period, divided by two. It is most commonly used in situationswhere just using the period-end inventory yields highly variable results, be-cause of constant and large changes in the inventory level.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
9,"Bad debt. An account receivable that cannot be collected.Balance sheet. Report that summarizes all assets, liabilities, and equity for a",Bad debt,,,"An account receivable that cannot be collected.Balance sheet. Report that summarizes all assets, liabilities, and equity for a",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
10,"Bill of materials. Itemization of the parts and subassemblies required to createa product, frequently including assumed scrap rates that will arise as part of theproduction process.",Bill of materials,,,"Itemization of the parts and subassemblies required to createa product, frequently including assumed scrap rates that will arise as part of theproduction process.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
11,"Book inventory. Amount of money invested in inventory, per a company's ac-counting records. It comprises the beginning inventory balance, plus the cost ofany receipts, less the cost of sold or scrapped inventory. It may be significantlydifferent from the actual on-hand inventory if the two are not periodicallyreconciled.",Book inventory,,,"Amount of money invested in inventory, per a company's ac-counting records. It comprises the beginning inventory balance, plus the cost ofany receipts, less the cost of sold or scrapped inventory. It may be significantlydifferent from the actual on-hand inventory if the two are not periodicallyreconciled.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
