ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
0,ABS See Asset-Backed Security. ,ABS,,,See Asset-Backed Security. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
1,ABS CDO Instrument where tranches are created from the tranches of ABSs. ,ABS CDO,,,Instrument where tranches are created from the tranches of ABSs.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
2,Accrual Swap An interest rate swap where interest on one side accrues only when a certain condition is met. ,Accrual Swap,,,An interest rate swap where interest on one side accrues only when a certain condition is met.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
3,Accrued Interest The interest earned on a bond since the last coupon payment date. ,Accrued Interest,,,The interest earned on a bond since the last coupon payment date.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
4,Adaptive Mesh Model A model developed by Figlewski and Gao that grafts a high- resolution tree on to a low-resolution tree so that there is more detailed modeling of ,Adaptive Mesh Model,,,A model developed by Figlewski and Gao that grafts a high- resolution tree on to a low-resolution tree so that there is more detailed modeling of,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
5,"Agency Costs Costs arising from a situation where the agent (e.g., manager) is not motivated to act in the best interests of the principal (e.g., shareholder). ",Agency Costs,,,"Costs arising from a situation where the agent (e.g. , manager) is not motivated to act in the best interests of the principal (e.g. , shareholder).","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
6,American Option An option that can be exercised at any time during its life. ,American Option,,,An option that can be exercised at any time during its life.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
7,Amortizing Swap A swap where the notional principal decreases in a predetermined way as time passes. ,Amortizing Swap,,,A swap where the notional principal decreases in a predetermined way as time passes.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
8,Analytic Result Result where answer is in the form of an equation. ,Analytic Result,,,Result where answer is in the form of an equation.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
9,Arbitrage A trading strategy that takes advantage of two or more securities being mispriced relative to each other. ,Arbitrage,,,A trading strategy that takes advantage of two or more securities being mispriced relative to each other.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
10,Arbitrageur An individual engaging in arbitrage. ,Arbitrageur,,,An individual engaging in arbitrage.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
11,Asian Option An option with a payoff dependent on the average price of the under- lying asset during a specified period. ,Asian Option,,,An option with a payoff dependent on the average price of the under- lying asset during a specified period.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
12,Ask Price The price that a dealer is offering to sell an asset. ,Ask Price,,,The price that a dealer is offering to sell an asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
13,Asked Price See Ask Price. ,Asked Price,,,See Ask Price. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
14,"Asset-Backed Security Security created from a portfolio of loans, bonds, credit card receivables, or other assets. ",Asset-Backed Security,,,"Security created from a portfolio of loans , bonds , credit card receivables , or other assets.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
15,Asset-or-Nothing Call Option An option that provides a payoff equal to the asset price if the asset price is above the strike price and zero otherwise. ,Asset-or-Nothing Call Option,,,An option that provides a payoff equal to the asset price if the asset price is above the strike price and zero otherwise.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
16,Asset-or-Nothing Put Option An option that provides a payoff equal to the asset price if the asset price is below the strike price and zero otherwise. ,Asset-or-Nothing Put Option,,,An option that provides a payoff equal to the asset price if the asset price is below the strike price and zero otherwise.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
17,Asset Swap Exchanges the coupon on a bond for LIBOR plus a spread. ,Asset Swap,,,Exchanges the coupon on a bond for LIBOR plus a spread.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
18,As-You-Like-It Option See Chooser Option. ,As-You-Like-It Option,,,See Chooser Option. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
19,At-the-Money Option An option in which the strike price equals the price of the underlying asset. ,At-the-Money Option,,,An option in which the strike price equals the price of the underlying asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
