ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
0,Abandoned option Where an option is neither sold nor exercised but allowed to lapse at expiry.,Abandoned option,,,Where an option is neither sold nor exercised but allowed to lapse at expiry.,"Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
1,Accumulation A technical analysis term describing a stock whose price is moving sideways.,Accumulation,,,A technical analysis term describing a stock whose price is moving sideways.,"Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
2,"Acid test ratio A measure of financial strength.Also known as the quick ratio. Cash plus short-term investments plus accounts receivable divided by current liabilities for the same period.All other things being equal,a relatively high figure may indicate a healthy company.",Acid test ratio,,,"A measure of financial strength.Also known as the quick ratio. Cash plus short-term investments plus accounts receivable divided by current liabilities for the same period.All other things being equal,a relatively high figure may indicate a healthy company.","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
3,Active channels A feature of Internet Explorer 4. Internet sites that are selected as channels provide special IE4 content. Bill Gates wants to lead internet TV – hence the term channels.,Active channels,,,A feature of Internet Explorer 4. Internet sites that are selected as channels provide special IE4 content. Bill Gates wants to lead internet TV – hence the term channels.,"Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
4,"Active market Securities trading with a relatively high degree of liquidity, the major benefit of which is narrow spreads.A term of art rather than precision.",Active market,,,"Securities trading with a relatively high degree of liquidity, the major benefit of which is narrow spreads.A term of art rather than precision.","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
5,"Aftermarket Also known as 'secondary market', refering to the trading in a security after its initial public offering.",Aftermarket,,,"Also known as 'secondary market', refering to the trading in a security after its initial public offering.","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
6,All or none Order instructing the broker to buy or sell the entire amount of the order in one transaction or not at all.,All or none,,,Order instructing the broker to buy or sell the entire amount of the order in one transaction or not at all.,"Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
7,American depositary receipt (ADR) Effectively like owning in dollars stocks of non-US-listed companies. A popular form of owning shares of foreign companies.,American depositary receipt,,,Effectively like owning in dollars stocks of non-US-listed companies. A popular form of owning shares of foreign companies.,"Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
8,American option An option that is exerciseable at any time within its life.Can be traded outside Europe.,American option,,,An option that is exerciseable at any time within its life.Can be traded outside Europe.,"Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
9,"American Stock Exchange (AMEX) Located in New York, this is the third- largest US stock exchange. Shares trade in the same 'auction' manner used by the larger New York Stock Exchange, unlike the Nasdaq's 'market-making' methods.",American Stock Exchange,,,"Located in New York, this is the third- largest US stock exchange. Shares trade in the same 'auction' manner used by the larger New York Stock Exchange, unlike the Nasdaq's 'market-making' methods.","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
10,Arbitrage The purchase in one market of an instrument and the sale in another market of this instrument or a closely linked instrument in order to profit from the small price differentials between the products in the two markets. Arbitrage profits usually exist for only a small time because someone scoops on them since they are 'locked in'.,Arbitrage,,,The purchase in one market of an instrument and the sale in another market of this instrument or a closely linked instrument in order to profit from the small price differentials between the products in the two markets. Arbitrage profits usually exist for only a small time because someone scoops on them since they are 'locked in'.,"Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
11,"Arbitrageur A trader engaged in arbitrage.They seek to make a lot of small, quick profits.",Arbitrageur,,,"A trader engaged in arbitrage.They seek to make a lot of small, quick profits.","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
12,"Ask The lowest price at which a dealer or market maker will sell a security (also 'bid','offer').",Ask,,,"The lowest price at which a dealer or market maker will sell a security (also 'bid','offer').","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
13,"Assign To oblige a call option writer to sell shares to the option holder, or to oblige a put option writer to buy shares from a put option holder.",Assign,,,"To oblige a call option writer to sell shares to the option holder, or to oblige a put option writer to buy shares from a put option holder.","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
14,"At the close Order instructing to be filled as close as possible to the, um, close of a particular security, or to be cancelled otherwise.",At the close,,,"Order instructing to be filled as close as possible to the, um, close of a particular security, or to be cancelled otherwise.","Internet.Trading.Course.The.complete.course.in.online.investment.(Financial.Times.Series)(ISBN.0273656309),.Alpesh.Patel"
