ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
0,"Accredited investor An individual (1) who has made $200,000 per year  in income for the past two years and has a reasonable expectation  of doing so in the future; (2) and spouse with aggregate income of $300,000 per year; or (3) with a net worth of $1 million or more, excluding home and automobile. Certain hedge fund structures require that investors be accredited.",Accredited investor,,,"An individual (1) who has made $200,000 per year  in income for the past two years and has a reasonable expectation  of doing so in the future; (2) and spouse with aggregate income of $300,000 per year; or (3) with a net worth of $1 million or more, excluding home and automobile. Certain hedge fund structures require that investors be accredited.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
1,"Administrator A third-party service provider that maintains the books and accounting records for a fund, communicates with investors, processes and reconciles trades, and monitors all cash movements. An administrator also may review and pay invoices for fund expenses, pre- pare financial reports, calculate net asset value, and calculate fees payable to the various service providers.",Administrator,,,"A third-party service provider that maintains the books and accounting records for a fund, communicates with investors, processes and reconciles trades, and monitors all cash movements. An administrator also may review and pay invoices for fund expenses, pre- pare financial reports, calculate net asset value, and calculate fees payable to the various service providers.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
2,"Alternative investments The alternative investment universe consists of investments outside of the traditional market investments of publicly traded debt, equity, real estate, and oil and gas. It includes investments ranging from hedge funds and managed futures to venture capital, pri- vate placements, and leveraged buyout funds.",Alternative investments,,,"The alternative investment universe consists of investments outside of the traditional market investments of publicly traded debt, equity, real estate, and oil and gas. It includes investments ranging from hedge funds and managed futures to venture capital, pri- vate placements, and leveraged buyout funds.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
3,"ADV A form that all Registered Investment Advisors must complete and file with the Securities and Exchange Commission, which collects the information for regulatory purposes, such as deciding whether to grant registration. Form ADV information about investment advisors and their business is available to the public through the SEC.",ADV,,,"A form that all Registered Investment Advisors must complete and file with the Securities and Exchange Commission, which collects the information for regulatory purposes, such as deciding whether to grant registration. Form ADV information about investment advisors and their business is available to the public through the SEC.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
4,"Alpha A numerical value indicating excess rate of return relative to a benchmark. As it applies to hedge funds, it is a manager's “value- added” in selecting securities.",Alpha,,,"A numerical value indicating excess rate of return relative to a benchmark. As it applies to hedge funds, it is a manager's “value- added” in selecting securities.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
5,"Alpha confidence interval (95 percent) The range within which the true alpha of the manager is estimated to fall, with 95 percent probability.",Alpha confidence interval,,,"The range within which the true alpha of the manager is estimated to fall, with 95 percent probability.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
6,"Absolute return strategy An investment strategy with the objective of securing a stipulated level of return independently of a proscribed tra- ditional stock or bond market index. The strategy targets an absolute return range, not returns relative to a predetermined index. This strat- egy is commonly used with hedge funds.",Absolute return strategy,,,"An investment strategy with the objective of securing a stipulated level of return independently of a proscribed tra- ditional stock or bond market index. The strategy targets an absolute return range, not returns relative to a predetermined index. This strat- egy is commonly used with hedge funds.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
7,Annual return The total percent return for the year.,Annual return,,,The total percent return for the year.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
8,Arbitrage strategy An investment strategy that attempts to take advantage of temporary price discrepancies between securities by buying the cheaper one and selling short the more expensive one. The strategy usu- ally is based on the use of historical relationships between instruments in different markets to predict future trends of movements in price.,Arbitrage strategy,,,An investment strategy that attempts to take advantage of temporary price discrepancies between securities by buying the cheaper one and selling short the more expensive one. The strategy usu- ally is based on the use of historical relationships between instruments in different markets to predict future trends of movements in price.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
9,"Asset class A broadly defined group of securities that have similar risk and return characteristics. Examples of asset class categories include equities, fixed income, and cash.",Asset class,,,"A broadly defined group of securities that have similar risk and return characteristics. Examples of asset class categories include equities, fixed income, and cash.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
